datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2021-10-04 00:00:00,81.46,84.58,80.93,84.15,31257600,21.8128,0.73699,65.10032,82.49714,83.37,79.0548,62.9002,2233211500.0,46.54145,81.18704,0.80565,1.45845,-0.6528,55.51976,0.59167,54.50567,-0.0080160320641281
2021-09-27 00:00:00,80.47,82.52,79.06,81.18,37940400,23.458,0.2052,64.90887,82.75429,83.5255,78.6918,62.771,2201953900.0,51.62341,90.78291,0.73808,1.62165,-0.88356,49.35304,0.24352,52.93353,-0.0352941176470588
2021-09-20 00:00:00,81.28,82.16,78.89,80.37,40451000,24.26106,-0.27829,64.74534,83.12571,83.7965,78.3936,62.65565,2164013500.0,60.22122,101.06681,0.94351,1.84254,-0.89903,48.374,0.12969,49.89628,-0.0099778270509978
2021-09-13 00:00:00,79.08,81.74,78.37,81.07,33732600,24.93116,0.5905,64.58831,83.99429,84.1735,78.1164,62.54795,2204464500.0,68.16559,111.68604,1.27445,2.06729,-0.79285,40.3758,0.1682,55.19229,0.008709717556302
2021-09-06 00:00:00,84.75,85.0,81.07,81.33,35570800,25.43176,-0.87023,64.42266,84.43286,84.5135,77.761,62.4382,2238197100.0,78.67468,122.6877,1.60704,2.26551,-0.65846,38.78929,0.16229,50.83707,0.0032071049710127
2021-08-30 00:00:00,85.07,85.13,83.71,84.01,26968100,27.06484,-0.74648,64.25274,84.81714,84.599,77.3836,62.32525,2273767900.0,93.22395,133.85546,1.9817,2.43012,-0.44842,38.92986,0.43511,60.4864,0.0329521701709087
2021-08-23 00:00:00,86.3,86.46,84.65,85.37,33574100,28.0842,-0.51381,64.05417,84.49143,84.544,77.0178,62.19695,2300736000.0,103.09975,144.82961,2.15821,2.54223,-0.38402,44.3905,0.58995,66.4331,0.0161885489822639
2021-08-16 00:00:00,84.25,86.2,84.04,85.95,25439200,28.60155,0.78704,63.83994,83.88,84.4085,76.6118,62.0596,2334310100.0,111.25259,155.46053,2.21363,2.63823,-0.4246,43.70655,0.6659,63.94415,0.0067939557221505
2021-08-09 00:00:00,85.92,86.13,82.84,83.78,35909200,29.26348,-0.65046,63.61773,83.45571,84.1135,76.1816,61.91385,2308870900.0,117.88073,165.92734,2.19312,2.74438,-0.55126,36.96153,0.46635,63.07589,-0.0252472367655614
2021-08-02 00:00:00,83.99,86.63,83.36,86.45,30382100,30.0031,0.75229,63.4151,83.32714,83.899,75.7854,61.7777,2344780100.0,132.90431,176.19844,2.35598,2.8822,-0.52621,45.5815,0.73839,69.36998,0.0318691811888278
